Time,[LVCT]:Pos_TokWh,Neg_TotKWh,Psum,Qsum,Vabc,Iabc,[PWCB]:Pos_TotKWh,Neg_TotKWh,Psum,Qsum,Vabc,Iabc,[BatRack]:BmsIdx,Status,Alm,SOC,SOH,Lmt_Chg_V,Lmt_Dischg_V,Max_Chg_A,Max_Dischg_A,PackV,PackA,[PCS]:VdcSet,IdcSet,VdcOut,IdcOut,Prate,Irate,Imax,ModeSet,Run_Mode,PacSet,QacSet,VrlyOut,PacOut,QacOut,PCS_Tmax,[MPPT]:Status,Vout/Iout,[PCU]:Psum#Rate/Req/Out,EVSE:Iout|VReq|Ireq[0],[1],[2],[3],[4],[5],PM:SelfID|State|HostID|NorthID|Vout|Iout|Vctrl|Ictrl[0],[1],[2],[3],[4],[5],[CELL]:Max_CSC_V,Max_CELL_V,Min_CSC_V,Min_CELL_V,MaxCell_V,MinCell_V,Avg_Cell_V,Max_Cell_T,Min_Cell_T,Avg_Cell_T,BAT_T_Max_CSC,BAT_T_Min_CSC,BAT_T_Max_CELL,BAT_T_Min_CELL,DC+_Res,DC-_Res,Chrg_KWh,DisChrg_KWh,Vout_rly,Vbus_Neg,Bat_State,Fault,Alm,DIDO,[HVAC]:Off:0 ON:1|Mode|Stage,Err,TSet_Cold/TSet_Heat,Twater_PM/TwaterBat/Tenv/Tdst,Toutput_PM,Tinput_PM,Tinput_BAT,Toutput_BAT,SetPower:Batt|PM,PumpDuty:PM|Batt|Fan,T_Exhaust|T_Inhale,HighPre|LowPre,nHz_Sys1_Run,nPLS,OutPre:Batt|PM,[PC]:Tmax/Pauxload/P_EMS,[EMS]:PsumCalc_PCS4BMS_Chrg,PsumCalc_BMS4PCS_Dischg,PsumRT_acload4Dischg,PavgRT_acload4Dischg,PsumRT_acload4CalcAntiOverload,[AC]PsumRT_ChgAvail,[AC]PavgRT_ChgAvail,[AC]PremainRT_ChgAvail,[AC]PsumReq_Dischg4ACLoad,[AC]PavgReq_Dischg4ACLoad,[AC]PremainReq_Dischg4ACLoad,PsumSet_ACInputLmt,[DC]PsumReq_DCDC,[AC]Pbms_Allocate2PCS,[DC]Pbms_Allocate2DCDC,[AC]Pallocate_ACSys2bmsChg,ACBus:[AC]PavgAllocate_BMSChg,[AC]PavgAllocate_BMSDischg,[ABU]#111X,G1#1111X,G1#2111X,G1#3111X,G1#4111X,G1#5111X,G1#6111X,G2#1111X,G2#2111X,G2#3111X,G2#4111X,G2#5111X,G2#6111X,Trig_Evt:ID,Val,
07:04:41,,,,,,,22917.0,229.8,0,0,230|231|231,2|1|1,1,Idle,0,80,100,689,566,295,295,633,0,0,0,633,0,35,43,116,255,0,0,0,633,0,0,0,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,1,8,1,11,3.301,3.299,3.300,26,22,25,4,1,0,0,3000,1923,35,133,634,318,3,0000000000000000,0000000000000000000000000000,83E755E019001700,0|3|0,0,28|15,0|0|18|28,17,19,19,18,0|0,0|0|0,18|19,3|4,0,0,-0.1|-0.1,24|0|0.0,0,70,8,8,0,7,7,7,8,8,8,12,0,0,6,0,0,0,01000000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
07:05:01,,,,,,,22917.0,229.8,0,0,230|231|231,2|1|1,0,Idle,0,80,100,689,566,295,295,631,0,0,0,632,0,35,43,116,255,0,0,0,632,0,0,0,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,1,5,2,6,3.301,3.299,3.300,28,24,26,3,1,0,0,3000,1672,34,133,631,317,3,0000000000000000,0000000000000000000000000000,83E755E019001700,0|3|0,0,28|15,0|0|19|28,19,20,20,20,0|0,0|0|0,18|20,3|4,0,0,-0.1|-0.1,24|0|0.0,0,70,8,8,0,7,7,7,8,8,8,12,0,0,6,0,0,0,01000000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
07:05:01,,,,,,,22917.0,229.8,0,0,230|231|231,2|1|1,1,Idle,0,80,100,689,566,295,295,633,0,0,0,633,0,35,43,116,255,0,0,0,633,0,0,0,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,1,8,1,11,3.301,3.299,3.300,26,22,25,4,1,0,0,3000,1923,35,133,634,318,3,0000000000000000,0000000000000000000000000000,83E755E019001700,0|3|0,0,28|15,0|0|18|28,17,19,19,18,0|0,0|0|0,18|19,3|4,0,0,-0.1|-0.1,24|0|0.0,0,70,8,8,0,7,7,7,8,8,8,12,0,0,6,0,0,0,01000000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
07:05:21,,,,,,,22917.0,229.8,0,0,230|231|231,2|1|1,0,Idle,0,80,100,689,566,295,295,631,0,0,0,632,0,35,43,116,255,0,0,0,632,0,0,0,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,1,5,1,1,3.301,3.300,3.300,28,24,26,3,1,0,0,3000,1672,34,133,631,316,3,0000000000000000,0000000000000000000000000000,83E755E019001700,0|3|0,0,28|15,0|0|19|28,19,20,20,20,0|0,0|0|0,18|20,3|4,0,0,-0.1|-0.1,24|0|0.0,0,70,8,8,0,7,7,7,8,8,8,12,0,0,6,0,0,0,01000000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
07:05:21,,,,,,,22917.0,229.8,0,0,230|231|231,2|1|1,1,Idle,0,80,100,689,566,295,295,633,0,0,0,633,0,35,43,116,255,0,0,0,633,0,0,0,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,1,8,1,19,3.301,3.299,3.300,26,22,25,4,1,0,0,3000,1923,35,133,634,318,3,0000000000000000,0000000000000000000000000000,83E755E019005700,0|3|0,0,28|15,0|0|18|28,17,19,19,18,0|0,0|0|0,18|19,3|4,0,0,-0.1|-0.1,24|0|0.0,0,70,8,8,0,7,7,7,8,8,8,12,0,0,6,0,0,0,01000000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
07:05:41,,,,,,,22917.0,229.8,0,0,230|231|231,2|1|1,0,Idle,0,80,100,689,566,295,295,631,0,0,0,632,0,35,43,116,255,0,0,0,632,0,0,0,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,1,5,3,2,3.301,3.299,3.300,28,24,26,3,1,0,0,3000,1672,34,133,631,317,3,0000000000000000,0000000000000000000000000000,83E755E019001700,0|3|0,0,28|15,0|0|19|28,19,20,20,20,0|0,0|0|0,18|20,3|4,0,0,-0.1|-0.1,24|0|0.0,0,70,8,8,0,7,7,7,8,8,8,12,0,0,6,0,0,0,01000000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
07:05:41,,,,,,,22917.0,229.8,0,0,230|231|231,2|1|1,1,Idle,0,80,100,689,566,295,295,633,0,0,0,633,0,35,43,116,255,0,0,0,633,0,0,0,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,1,8,1,11,3.301,3.299,3.300,26,22,25,4,1,0,0,3000,1923,35,133,634,318,3,0000000000000000,0000000000000000000000000000,83E755E009005700,0|3|0,0,28|15,0|0|17|28,18,19,19,18,0|0,0|0|0,18|20,3|4,0,0,-0.1|-0.1,24|0|0.0,0,70,8,8,0,7,7,7,8,8,8,12,0,0,6,0,0,0,01000000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
07:06:01,,,,,,,22917.0,229.8,0,0,230|231|231,2|1|1,0,Idle,0,80,100,689,566,295,295,631,0,0,0,632,0,35,43,116,255,0,0,0,632,0,0,0,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,1,5,1,1,3.301,3.300,3.300,28,24,26,3,1,0,0,3000,1672,34,133,631,316,3,0000000000000000,0000000000000000000000000000,83E755E009005700,0|3|0,0,28|15,0|0|19|28,19,20,20,20,0|0,0|0|0,18|20,3|4,0,0,-0.1|-0.1,24|0|0.0,0,70,8,8,0,7,7,7,8,8,8,12,0,0,6,0,0,0,01000000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
07:06:01,,,,,,,22917.0,229.8,0,0,230|231|231,2|1|1,1,Idle,0,80,100,689,566,295,295,633,0,0,0,633,0,35,43,116,255,0,0,0,633,0,0,0,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,1,8,1,11,3.301,3.299,3.300,26,22,25,4,1,0,0,3000,1923,35,133,634,318,3,0000000000000000,0000000000000000000000000000,83E755E009005700,0|3|0,0,28|15,0|0|17|28,17,19,19,18,0|0,0|0|0,18|19,3|4,0,0,-0.1|-0.1,24|0|0.0,0,70,8,8,0,7,7,7,8,8,8,12,0,0,6,0,0,0,01000000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
07:06:21,,,,,,,22917.0,229.8,0,0,230|231|231,2|1|1,0,Idle,0,80,100,689,566,295,295,631,0,0,0,632,0,35,43,116,255,0,0,0,632,0,0,0,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,1,5,1,1,3.301,3.300,3.300,28,24,26,2,1,0,0,3000,1672,34,133,631,316,3,0000000000000000,0000000000000000000000000000,83E755E019001700,0|3|0,0,28|15,0|0|19|28,19,20,20,20,0|0,0|0|0,18|20,3|4,0,0,-0.1|-0.1,23|0|0.0,0,70,8,8,0,7,7,7,8,8,8,12,0,0,6,0,0,0,01000000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
07:06:21,,,,,,,22917.0,229.8,0,0,230|231|231,2|1|1,1,Idle,0,80,100,689,566,295,295,633,0,0,0,633,0,35,43,116,255,0,0,0,633,0,0,0,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,1,8,1,3,3.301,3.299,3.300,26,22,25,4,1,0,0,3000,1923,35,133,634,318,3,0000000000000000,0000000000000000000000000000,83E755E019001700,0|3|0,0,28|15,0|0|17|28,17,19,19,18,0|0,0|0|0,18|19,3|4,0,0,-0.1|-0.1,23|0|0.0,0,70,8,8,0,7,7,7,8,8,8,12,0,0,6,0,0,0,01000000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
07:06:41,,,,,,,22917.0,229.8,0,0,230|231|231,2|1|1,0,Idle,0,80,100,689,566,295,295,631,0,0,0,632,0,35,43,116,255,0,0,0,632,0,0,0,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,1,5,3,2,3.301,3.299,3.300,28,24,26,3,1,0,0,3000,1672,34,133,631,316,3,0000000000000000,0000000000000000000000000000,83E755E019001700,0|3|0,0,28|15,0|0|19|28,19,20,20,20,0|0,0|0|0,18|20,3|4,0,0,-0.1|-0.1,24|0|0.0,0,70,8,8,0,7,7,7,8,8,8,12,0,0,6,0,0,0,01000000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
07:06:41,,,,,,,22917.0,229.8,0,0,230|231|231,2|1|1,1,Idle,0,80,100,689,566,295,295,633,0,0,0,633,0,35,43,116,255,0,0,0,633,0,0,0,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,1,8,1,11,3.301,3.299,3.300,26,22,25,4,1,0,0,3000,1923,35,133,634,318,3,0000000000000000,0000000000000000000000000000,83E755E019001700,0|3|0,0,28|15,0|0|18|28,18,19,19,18,0|0,0|0|0,18|20,3|4,0,0,-0.1|-0.1,24|0|0.0,0,70,8,8,0,7,7,7,8,8,8,12,0,0,6,0,0,0,01000000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
07:07:01,,,,,,,22917.1,229.8,0,0,230|231|231,2|1|1,0,Idle,0,80,100,689,566,295,295,631,0,0,0,632,0,35,43,116,255,0,0,0,632,0,0,0,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,1,5,3,2,3.301,3.299,3.300,28,24,26,3,1,0,0,3000,1672,34,133,631,316,3,0000000000000000,0000000000000000000000000000,83E755E009005700,0|3|0,0,28|15,0|0|19|28,19,20,20,20,0|0,0|0|0,18|20,3|4,0,0,-0.1|-0.1,25|0|0.0,0,70,8,8,0,7,7,7,8,8,8,12,0,0,6,0,0,0,01000000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
07:07:01,,,,,,,22917.1,229.8,0,0,230|231|231,2|1|1,1,Idle,0,80,100,689,566,295,295,633,0,0,0,633,0,35,43,116,255,0,0,0,633,0,0,0,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,1,8,1,11,3.301,3.299,3.300,26,22,25,4,1,0,0,3000,1923,35,133,634,318,3,0000000000000000,0000000000000000000000000000,83E755E019001700,0|3|0,0,28|15,0|0|18|28,18,19,19,18,0|0,0|0|0,18|20,3|4,0,0,-0.1|-0.1,25|0|0.0,0,70,8,8,0,7,7,7,8,8,8,12,0,0,6,0,0,0,01000000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
07:07:21,,,,,,,22917.1,229.8,0,0,229|231|231,2|1|1,0,Idle,0,80,100,689,566,295,295,631,0,0,0,632,0,35,43,116,255,0,0,0,632,0,0,0,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,1,1,3,2,3.301,3.299,3.300,28,24,26,3,1,0,0,3000,1672,34,133,631,316,3,0000000000000000,0000000000000000000000000000,83E755E019001700,0|3|0,0,28|15,0|0|19|28,19,20,20,20,0|0,0|0|0,18|20,3|4,0,0,-0.1|-0.1,24|0|0.0,0,70,8,8,0,7,7,7,8,8,8,12,0,0,6,0,0,0,01000000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
07:07:21,,,,,,,22917.1,229.8,0,0,229|231|231,2|1|1,1,Idle,0,80,100,689,566,295,295,633,0,0,0,633,0,35,43,116,255,0,0,0,633,0,0,0,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,1,8,1,11,3.301,3.299,3.300,26,22,25,4,1,0,0,3000,1923,35,133,634,318,3,0000000000000000,0000000000000000000000000000,83E755E009005700,0|3|0,0,28|15,0|0|18|28,18,19,19,18,0|0,0|0|0,18|20,3|4,0,0,-0.1|-0.1,24|0|0.0,0,70,8,8,0,7,7,7,8,8,8,12,0,0,6,0,0,0,01000000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
07:07:41,,,,,,,22917.1,229.8,0,0,230|231|231,2|1|1,0,Idle,0,80,100,689,566,295,295,631,0,0,0,632,0,35,43,116,255,0,0,0,632,0,0,0,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,1,5,3,2,3.301,3.299,3.300,28,24,26,2,1,0,0,3000,1672,34,133,631,316,3,0000000000000000,0000000000000000000000000000,83E755E019001700,0|3|0,0,28|15,0|0|19|28,19,20,20,20,0|0,0|0|0,18|20,3|4,0,0,-0.1|-0.1,25|0|0.0,0,70,8,8,0,7,7,7,8,8,8,12,0,0,6,0,0,0,01000000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
07:07:41,,,,,,,22917.1,229.8,0,0,230|231|231,2|1|1,1,Idle,0,80,100,689,566,295,295,633,0,0,0,633,0,35,43,116,255,0,0,0,633,0,0,0,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,1,8,1,11,3.301,3.299,3.300,26,22,25,4,1,0,0,3000,1923,35,133,634,318,3,0000000000000000,0000000000000000000000000000,83E755E009001700,0|3|0,0,28|15,0|0|18|28,18,19,19,18,0|0,0|0|0,18|20,3|4,0,0,-0.1|-0.1,25|0|0.0,0,70,8,8,0,7,7,7,8,8,8,12,0,0,6,0,0,0,01000000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
07:08:01,,,,,,,22917.1,229.8,0,0,230|230|231,2|1|1,0,Idle,0,80,100,689,566,295,295,631,0,0,0,632,0,35,43,116,255,0,0,0,632,0,0,0,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,1,4,3,2,3.301,3.299,3.300,28,24,26,3,1,0,0,3000,1672,34,133,631,316,3,0000000000000000,0000000000000000000000000000,83E755E019001700,0|3|0,0,28|15,0|0|19|28,19,20,20,20,0|0,0|0|0,18|20,3|4,0,0,-0.1|-0.1,25|0|0.0,0,70,8,8,0,7,7,7,8,8,8,12,0,0,6,0,0,0,01000000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
07:08:01,,,,,,,22917.1,229.8,0,0,230|230|231,2|1|1,1,Idle,0,80,100,689,566,295,295,633,0,0,0,633,0,35,43,116,255,0,0,0,633,0,0,0,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,1,8,1,11,3.301,3.299,3.300,26,22,25,3,1,0,0,3000,1923,35,133,634,318,3,0000000000000000,0000000000000000000000000000,83E755E009005700,0|3|0,0,28|15,0|0|18|28,18,19,19,18,0|0,0|0|0,18|20,3|4,0,0,-0.1|-0.1,25|0|0.0,0,70,8,8,0,7,7,7,8,8,8,12,0,0,6,0,0,0,01000000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
07:08:21,,,,,,,22917.1,229.8,0,0,230|231|231,2|1|1,0,Idle,0,80,100,689,566,295,295,631,0,0,0,632,0,35,43,116,255,0,0,0,632,0,0,0,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,1,5,3,2,3.301,3.299,3.300,28,24,26,3,1,0,0,3000,1672,34,133,631,316,3,0000000000000000,0000000000000000000000000000,83E755E009005700,0|3|0,0,28|15,0|0|19|28,19,20,20,20,0|0,0|0|0,18|20,3|4,0,0,-0.1|-0.1,25|0|0.0,0,70,8,8,0,7,7,7,8,8,8,12,0,0,6,0,0,0,01000000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
